0     DEBUG [main] org.scriptinsight.util.Props - Props: envPropFileName : null
0     DEBUG [main] org.scriptinsight.util.Props - Props: Using default env file: /props/env/dev/scriptinsight.properties
0     DEBUG [main] org.scriptinsight.util.Props - Props: Request for property [ProxyServerPort=2554]
0     DEBUG [main] org.scriptinsight.util.Props - Props: Request for property [TaskPoolSize=5]
10156 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.10) Gecko/2009042316 Firefox/3.0.10
10156 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                               Accept: text/css,*/*;q=0.1
10156 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
10156 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                               Accept-Encoding: gzip,deflate
10156 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
10156 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                               Keep-Alive: 300
10156 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
10156 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                               Referer: http://gaotop:8080/petstore/faces/index.jsp
10156 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                               Cookie: JSESSIONID=35af514a0b130008c819be1206c4
10156 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
10156 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler - >>               Response Headers: 
10156 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                                X-Powered-By: Servlet/2.5
10156 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                                Server: Sun GlassFish Enterprise Server v2.1
10156 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                                ETag: W/"1892-1240293441187"
10156 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                                Last-Modified: Tue, 21 Apr 2009 05:57:21 GMT
10156 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                                Content-Type: text/css
10156 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                                Date: Fri, 12 Jun 2009 07:25:02 GMT
10359 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler - >> JAVASCRIPT: http://gaotop:8080/petstore/faces/static/META-INF/dojo/bpcatalog/dojo.js isRepeatable=[false], isStreaming=[true]
10375 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler - >> Request [http://gaotop:8080/petstore/faces/static/META-INF/dojo/bpcatalog/dojo.js]
10375 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 200 OK
10375 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
10375 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler - >>               Request Headers: 
10375 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                               Host: gaotop:8080
10375 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.10) Gecko/2009042316 Firefox/3.0.10
10375 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                               Accept: */*
10375 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
10375 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                               Accept-Encoding: gzip,deflate
10375 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
10375 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                               Keep-Alive: 300
10375 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
10375 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                               Referer: http://gaotop:8080/petstore/faces/index.jsp
10375 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                               Cookie: JSESSIONID=35af514a0b130008c819be1206c4
10375 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
10375 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler - >>               Response Headers: 
10375 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                                X-Powered-By: Servlet/2.5
10375 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                                Server: Sun GlassFish Enterprise Server v2.1
10375 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                                X-Powered-By: JSF/1.2
10375 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                                Last-Modified: Fri, 12 Jun 2009 06:23:22 GMT
10375 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                                Content-Type: text/javascript
10375 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                                Date: Fri, 12 Jun 2009 07:25:02 GMT
10531 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler - >> JAVASCRIPT: http://gaotop:8080/petstore/faces/static/META-INF/rss/rssbar.js isRepeatable=[false], isStreaming=[true]
10531 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler - >> Request [http://gaotop:8080/petstore/faces/static/META-INF/rss/rssbar.js]
10531 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 200 OK
10531 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
10531 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler - >>               Request Headers: 
10531 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                               Host: gaotop:8080
10531 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.10) Gecko/2009042316 Firefox/3.0.10
10531 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                               Accept: */*
10531 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
10531 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                               Accept-Encoding: gzip,deflate
10531 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
10531 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                               Keep-Alive: 300
10531 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
10531 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                               Referer: http://gaotop:8080/petstore/faces/index.jsp
10531 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                               Cookie: JSESSIONID=35af514a0b130008c819be1206c4
10531 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
10531 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler - >>               Response Headers: 
10531 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                                X-Powered-By: Servlet/2.5
10531 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                                Server: Sun GlassFish Enterprise Server v2.1
10531 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                                X-Powered-By: JSF/1.2
10531 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                                Last-Modified: Fri, 12 Jun 2009 06:23:22 GMT
10531 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                                Content-Type: text/javascript
10531 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                                Date: Fri, 12 Jun 2009 07:25:02 GMT
10562 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler - >> Request [http://gaotop:8080/petstore/faces/static/META-INF/rss/rssbar.css]
10562 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 200 OK
10562 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
10562 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler - >>               Request Headers: 
10562 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                               Host: gaotop:8080
10562 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.10) Gecko/2009042316 Firefox/3.0.10
10562 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                               Accept: text/css,*/*;q=0.1
10562 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
10562 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                               Accept-Encoding: gzip,deflate
10562 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
10562 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                               Keep-Alive: 300
10562 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
10562 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                               Referer: http://gaotop:8080/petstore/faces/index.jsp
10562 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                               Cookie: JSESSIONID=35af514a0b130008c819be1206c4
10562 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
10562 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler - >>               Response Headers: 
10562 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                                X-Powered-By: Servlet/2.5
10562 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                                Server: Sun GlassFish Enterprise Server v2.1
10562 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                                X-Powered-By: JSF/1.2
10562 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                                Last-Modified: Fri, 12 Jun 2009 06:23:22 GMT
10562 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                                Content-Type: text/css
10562 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                                Date: Fri, 12 Jun 2009 07:25:02 GMT
10594 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler - >> Request [http://gaotop:8080/petstore/images/banner_logo.gif]
10594 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 200 OK
10594 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
10594 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler - >>               Request Headers: 
10594 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                               Host: gaotop:8080
10594 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.10) Gecko/2009042316 Firefox/3.0.10
10594 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                               Accept: image/png,image/*;q=0.8,*/*;q=0.5
10594 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
10594 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                               Accept-Encoding: gzip,deflate
10594 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
10594 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                               Keep-Alive: 300
10594 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
10594 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                               Referer: http://gaotop:8080/petstore/faces/index.jsp
10594 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                               Cookie: JSESSIONID=35af514a0b130008c819be1206c4
10594 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
10594 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler - >>               Response Headers: 
10594 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                                X-Powered-By: Servlet/2.5
10594 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                                Server: Sun GlassFish Enterprise Server v2.1
10594 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                                ETag: W/"7641-1240293440828"
10594 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                                Last-Modified: Tue, 21 Apr 2009 05:57:20 GMT
10594 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                                Content-Type: image/gif
10594 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                                Date: Fri, 12 Jun 2009 07:25:02 GMT
10609 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler - >> JAVASCRIPT: http://gaotop:8080/petstore/faces/static/META-INF/dojo/bpcatalog/src/widget/FisheyeList.js isRepeatable=[false], isStreaming=[true]
10609 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler - >> Request [http://gaotop:8080/petstore/faces/static/META-INF/dojo/bpcatalog/src/widget/FisheyeList.js]
10609 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 200 OK
10609 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
10609 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler - >>               Request Headers: 
10609 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                               Host: gaotop:8080
10609 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.10) Gecko/2009042316 Firefox/3.0.10
10609 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                               Accept: text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8
10609 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
10609 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                               Accept-Encoding: gzip,deflate
10609 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
10609 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                               Keep-Alive: 300
10609 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
10609 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                               Referer: http://gaotop:8080/petstore/faces/index.jsp
10609 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                               Cookie: JSESSIONID=35af514a0b130008c819be1206c4
10609 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
10609 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler - >>               Response Headers: 
10609 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                                X-Powered-By: Servlet/2.5
10609 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                                Server: Sun GlassFish Enterprise Server v2.1
10609 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                                X-Powered-By: JSF/1.2
10609 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                                Last-Modified: Fri, 12 Jun 2009 06:23:22 GMT
10609 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                                Content-Type: text/javascript
10609 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                                Date: Fri, 12 Jun 2009 07:25:02 GMT
10640 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler - >> JAVASCRIPT: http://gaotop:8080/petstore/faces/static/META-INF/dojo/bpcatalog/src/widget/__package__.js isRepeatable=[false], isStreaming=[true]
10640 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler - >> Request [http://gaotop:8080/petstore/faces/static/META-INF/dojo/bpcatalog/src/widget/__package__.js]
10640 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 200 OK
10640 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
10640 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler - >>               Request Headers: 
10640 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                               Host: gaotop:8080
10640 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.10) Gecko/2009042316 Firefox/3.0.10
10640 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                               Accept: text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8
10640 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
10640 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                               Accept-Encoding: gzip,deflate
10640 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
10640 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                               Keep-Alive: 300
10640 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
10640 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                               Referer: http://gaotop:8080/petstore/faces/index.jsp
10640 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                               Cookie: JSESSIONID=35af514a0b130008c819be1206c4
10640 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
10640 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler - >>               Response Headers: 
10640 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                                X-Powered-By: Servlet/2.5
10640 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                                Server: Sun GlassFish Enterprise Server v2.1
10640 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                                X-Powered-By: JSF/1.2
10640 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                                Last-Modified: Fri, 12 Jun 2009 06:23:22 GMT
10640 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                                Content-Type: text/javascript
10640 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                                Date: Fri, 12 Jun 2009 07:25:02 GMT
10687 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler - >> JAVASCRIPT: http://gaotop:8080/petstore/faces/static/META-INF/dojo/bpcatalog/src/xml/Parse.js isRepeatable=[false], isStreaming=[true]
10687 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler - >> Request [http://gaotop:8080/petstore/faces/static/META-INF/dojo/bpcatalog/src/xml/Parse.js]
10687 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 200 OK
10687 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
10687 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler - >>               Request Headers: 
10687 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                               Host: gaotop:8080
