0     DEBUG [main] org.fireinsight.util.Props - Props: envPropFileName : null
0     DEBUG [main] org.fireinsight.util.Props - Props: Using default env file: /props/env/dev/scriptinsight.properties
16    DEBUG [main] org.fireinsight.util.Props - Props: Request for property [IgnoreList=http://gaotop:8080/petstore/faces/static/META-INF/dojo/bpcatalog/dojo.js]
16    DEBUG [main] org.fireinsight.util.Props - Props: Request for property [ProxyServerPort=2554]
16    DEBUG [main] org.fireinsight.util.Props - Props: Request for property [TaskPoolSize=20]
37219 INFO  [pool-1-thread-3] org.fireinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
37219 INFO  [pool-1-thread-3] org.fireinsight.proxy.ProxyHandler -                               Accept-Encoding: gzip,deflate
37219 INFO  [pool-1-thread-3] org.fireinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
37219 INFO  [pool-1-thread-3] org.fireinsight.proxy.ProxyHandler -                               Keep-Alive: 300
37219 INFO  [pool-1-thread-3] org.fireinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
37219 INFO  [pool-1-thread-3] org.fireinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
37219 INFO  [pool-1-thread-3] org.fireinsight.proxy.ProxyHandler - >>               Response Headers: 
37219 INFO  [pool-1-thread-3] org.fireinsight.proxy.ProxyHandler -                                X-Powered-By: JSP/2.1
37219 INFO  [pool-1-thread-3] org.fireinsight.proxy.ProxyHandler -                                Server: Sun GlassFish Enterprise Server v2.1
37219 INFO  [pool-1-thread-3] org.fireinsight.proxy.ProxyHandler -                                Set-Cookie: JSESSIONID=c13804887ec1304fd6116ee24a86; Path=/petstore
37219 INFO  [pool-1-thread-3] org.fireinsight.proxy.ProxyHandler -                                Content-Type: text/html;charset=UTF-8
37219 INFO  [pool-1-thread-3] org.fireinsight.proxy.ProxyHandler -                                Date: Thu, 11 Feb 2010 08:09:41 GMT
38953 INFO  [pool-1-thread-4] org.fireinsight.proxy.ProxyHandler - >> Request [http://gaotop:8080/favicon.ico]
38953 INFO  [pool-1-thread-4] org.fireinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 404 Not Found
38953 INFO  [pool-1-thread-4] org.fireinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
38953 INFO  [pool-1-thread-4] org.fireinsight.proxy.ProxyHandler - >>               Request Headers: 
38953 INFO  [pool-1-thread-4] org.fireinsight.proxy.ProxyHandler -                               Host: gaotop:8080
38953 INFO  [pool-1-thread-4] org.fireinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.15) Gecko/2009101601 Firefox/3.0.15 (.NET CLR 3.5.30729)
38969 INFO  [pool-1-thread-4] org.fireinsight.proxy.ProxyHandler -                               Accept: image/png,image/*;q=0.8,*/*;q=0.5
38969 INFO  [pool-1-thread-4] org.fireinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
38969 INFO  [pool-1-thread-4] org.fireinsight.proxy.ProxyHandler -                               Accept-Encoding: gzip,deflate
38969 INFO  [pool-1-thread-4] org.fireinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
38969 INFO  [pool-1-thread-4] org.fireinsight.proxy.ProxyHandler -                               Keep-Alive: 300
38969 INFO  [pool-1-thread-4] org.fireinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
38969 INFO  [pool-1-thread-4] org.fireinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
38969 INFO  [pool-1-thread-4] org.fireinsight.proxy.ProxyHandler - >>               Response Headers: 
38969 INFO  [pool-1-thread-4] org.fireinsight.proxy.ProxyHandler -                                X-Powered-By: Servlet/2.5
38969 INFO  [pool-1-thread-4] org.fireinsight.proxy.ProxyHandler -                                Server: Sun GlassFish Enterprise Server v2.1
38969 INFO  [pool-1-thread-4] org.fireinsight.proxy.ProxyHandler -                                Content-Type: text/html
38969 INFO  [pool-1-thread-4] org.fireinsight.proxy.ProxyHandler -                                Content-Language: 
38969 INFO  [pool-1-thread-4] org.fireinsight.proxy.ProxyHandler -                                Date: Thu, 11 Feb 2010 08:09:42 GMT
42235 INFO  [pool-1-thread-5] org.fireinsight.proxy.ProxyHandler - >> Request [http://gaotop:8080/favicon.ico]
42235 INFO  [pool-1-thread-5] org.fireinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 404 Not Found
42235 INFO  [pool-1-thread-5] org.fireinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
42235 INFO  [pool-1-thread-5] org.fireinsight.proxy.ProxyHandler - >>               Request Headers: 
42235 INFO  [pool-1-thread-5] org.fireinsight.proxy.ProxyHandler -                               Host: gaotop:8080
42235 INFO  [pool-1-thread-5] org.fireinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.15) Gecko/2009101601 Firefox/3.0.15 (.NET CLR 3.5.30729)
42235 INFO  [pool-1-thread-5] org.fireinsight.proxy.ProxyHandler -                               Accept: text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8
42235 INFO  [pool-1-thread-5] org.fireinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
42235 INFO  [pool-1-thread-5] org.fireinsight.proxy.ProxyHandler -                               Accept-Encoding: gzip,deflate
42235 INFO  [pool-1-thread-5] org.fireinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
42235 INFO  [pool-1-thread-5] org.fireinsight.proxy.ProxyHandler -                               Keep-Alive: 300
42235 INFO  [pool-1-thread-5] org.fireinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
42235 INFO  [pool-1-thread-5] org.fireinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
42235 INFO  [pool-1-thread-5] org.fireinsight.proxy.ProxyHandler - >>               Response Headers: 
42235 INFO  [pool-1-thread-5] org.fireinsight.proxy.ProxyHandler -                                X-Powered-By: Servlet/2.5
42235 INFO  [pool-1-thread-5] org.fireinsight.proxy.ProxyHandler -                                Server: Sun GlassFish Enterprise Server v2.1
42235 INFO  [pool-1-thread-5] org.fireinsight.proxy.ProxyHandler -                                Content-Type: text/html
42235 INFO  [pool-1-thread-5] org.fireinsight.proxy.ProxyHandler -                                Content-Language: 
42235 INFO  [pool-1-thread-5] org.fireinsight.proxy.ProxyHandler -                                Date: Thu, 11 Feb 2010 08:09:46 GMT
191375 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler - >> Request [http://safebrowsing.clients.google.com/safebrowsing/downloads?client=navclient-auto-ffox&appver=3.0.15&pver=2.2&wrkey=AKEgNiteVSzMkylgI74J31Sc0ZlSu-vYh6ZQEAaNJzqvfR84HXZb4izplr3YS5uszg2O2jqDQlmOZBKr7eebleYeZ89OT1THiQ==]
191375 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 200 OK
191375 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
191375 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler - >>               Request Headers: 
191375 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler -                               Host: safebrowsing.clients.google.com
191375 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.15) Gecko/2009101601 Firefox/3.0.15 (.NET CLR 3.5.30729)
191375 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler -                               Accept: text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8
191375 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
191375 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler -                               Accept-Encoding: gzip,deflate
191375 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
191375 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler -                               Keep-Alive: 300
191375 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
191375 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler -                               Content-Type: text/plain
191375 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler -                               Content-Length: 100
191375 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
191375 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler - >>               Response Headers: 
191375 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler -                                Content-Type: application/vnd.google.safebrowsing-update
191375 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler -                                Set-Cookie: PREF=ID=79be1ebc890d2b48:TM=1265875951:LM=1265875951:S=saE0mDfDdDIpGND9; expires=Sat, 11-Feb-2012 08:12:31 GMT; path=/; domain=.google.com
191375 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler -                                Date: Thu, 11 Feb 2010 08:12:31 GMT
191375 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler -                                Server: Chunked Update Server
191375 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler -                                X-XSS-Protection: 0
191375 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler -                                Expires: Thu, 11 Feb 2010 08:12:31 GMT
191375 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler -                                Cache-Control: private
191531 INFO  [pool-1-thread-7] org.fireinsight.proxy.ProxyHandler - >> Request [http://safebrowsing-cache.google.com/safebrowsing/rd/ChNnb29nLW1hbHdhcmUtc2hhdmFyEAEY8OQBIPTkASoFc3IAAAMyBXByAAAH]
191531 INFO  [pool-1-thread-7] org.fireinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 200 OK
191531 INFO  [pool-1-thread-7] org.fireinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
191531 INFO  [pool-1-thread-7] org.fireinsight.proxy.ProxyHandler - >>               Request Headers: 
191531 INFO  [pool-1-thread-7] org.fireinsight.proxy.ProxyHandler -                               Host: safebrowsing-cache.google.com
191531 INFO  [pool-1-thread-7] org.fireinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.15) Gecko/2009101601 Firefox/3.0.15 (.NET CLR 3.5.30729)
191531 INFO  [pool-1-thread-7] org.fireinsight.proxy.ProxyHandler -                               Accept: text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8
191531 INFO  [pool-1-thread-7] org.fireinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
191531 INFO  [pool-1-thread-7] org.fireinsight.proxy.ProxyHandler -                               Accept-Encoding: gzip,deflate
191531 INFO  [pool-1-thread-7] org.fireinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
191531 INFO  [pool-1-thread-7] org.fireinsight.proxy.ProxyHandler -                               Keep-Alive: 300
191531 INFO  [pool-1-thread-7] org.fireinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
191531 INFO  [pool-1-thread-7] org.fireinsight.proxy.ProxyHandler -                               Cookie: PREF=ID=79be1ebc890d2b48:TM=1265875951:LM=1265875951:S=saE0mDfDdDIpGND9
191531 INFO  [pool-1-thread-7] org.fireinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
191531 INFO  [pool-1-thread-7] org.fireinsight.proxy.ProxyHandler - >>               Response Headers: 
191531 INFO  [pool-1-thread-7] org.fireinsight.proxy.ProxyHandler -                                Cache-Control: public,max-age=21600
191531 INFO  [pool-1-thread-7] org.fireinsight.proxy.ProxyHandler -                                Content-Type: application/vnd.google.safebrowsing-chunk
191531 INFO  [pool-1-thread-7] org.fireinsight.proxy.ProxyHandler -                                Date: Thu, 11 Feb 2010 08:12:31 GMT
191531 INFO  [pool-1-thread-7] org.fireinsight.proxy.ProxyHandler -                                Server: Chunked Update Server
191531 INFO  [pool-1-thread-7] org.fireinsight.proxy.ProxyHandler -                                X-XSS-Protection: 0
193750 INFO  [pool-1-thread-8] org.fireinsight.proxy.ProxyHandler - >> Request [http://safebrowsing-cache.google.com/safebrowsing/rd/ChNnb29nLW1hbHdhcmUtc2hhdmFyEAAY4YUBIICHATIZ4UIAAP_______________9___3______AA]
193750 INFO  [pool-1-thread-8] org.fireinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 200 OK
193750 INFO  [pool-1-thread-8] org.fireinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
193750 INFO  [pool-1-thread-8] org.fireinsight.proxy.ProxyHandler - >>               Request Headers: 
193750 INFO  [pool-1-thread-8] org.fireinsight.proxy.ProxyHandler -                               Host: safebrowsing-cache.google.com
193750 INFO  [pool-1-thread-8] org.fireinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.15) Gecko/2009101601 Firefox/3.0.15 (.NET CLR 3.5.30729)
193750 INFO  [pool-1-thread-8] org.fireinsight.proxy.ProxyHandler -                               Accept: text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8
193750 INFO  [pool-1-thread-8] org.fireinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
193750 INFO  [pool-1-thread-8] org.fireinsight.proxy.ProxyHandler -                               Accept-Encoding: gzip,deflate
193750 INFO  [pool-1-thread-8] org.fireinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
193750 INFO  [pool-1-thread-8] org.fireinsight.proxy.ProxyHandler -                               Keep-Alive: 300
193750 INFO  [pool-1-thread-8] org.fireinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
193750 INFO  [pool-1-thread-8] org.fireinsight.proxy.ProxyHandler -                               Cookie: PREF=ID=79be1ebc890d2b48:TM=1265875951:LM=1265875951:S=saE0mDfDdDIpGND9
193750 INFO  [pool-1-thread-8] org.fireinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
193750 INFO  [pool-1-thread-8] org.fireinsight.proxy.ProxyHandler - >>               Response Headers: 
193750 INFO  [pool-1-thread-8] org.fireinsight.proxy.ProxyHandler -                                Cache-Control: public,max-age=21600
193750 INFO  [pool-1-thread-8] org.fireinsight.proxy.ProxyHandler -                                Content-Type: application/vnd.google.safebrowsing-chunk
193750 INFO  [pool-1-thread-8] org.fireinsight.proxy.ProxyHandler -                                Date: Thu, 11 Feb 2010 08:12:33 GMT
193750 INFO  [pool-1-thread-8] org.fireinsight.proxy.ProxyHandler -                                Server: Chunked Update Server
193750 INFO  [pool-1-thread-8] org.fireinsight.proxy.ProxyHandler -                                X-XSS-Protection: 0
277063 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler - >> Request [http://safebrowsing-cache.google.com/safebrowsing/rd/ChNnb29nLW1hbHdhcmUtc2hhdmFyEAAYgYcBIKCIATIZgUMAAP_3__9___3_________________AA]
277063 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 200 OK
277063 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
277063 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler - >>               Request Headers: 
277063 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler -                               Host: safebrowsing-cache.google.com
277063 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.15) Gecko/2009101601 Firefox/3.0.15 (.NET CLR 3.5.30729)
277063 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler -                               Accept: text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8
277063 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
277063 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler -                               Accept-Encoding: gzip,deflate
277063 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
277063 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler -                               Keep-Alive: 300
277063 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
277063 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler -                               Cookie: PREF=ID=79be1ebc890d2b48:TM=1265875951:LM=1265875951:S=saE0mDfDdDIpGND9
277078 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
277078 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler - >>               Response Headers: 
277078 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler -                                Cache-Control: public,max-age=21600
277078 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler -                                Content-Type: application/vnd.google.safebrowsing-chunk
277078 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler -                                Date: Thu, 11 Feb 2010 08:13:57 GMT
277078 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler -                                Server: Chunked Update Server
277078 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler -                                X-XSS-Protection: 0
281047 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler - >> Request [http://safebrowsing-cache.google.com/safebrowsing/rd/ChNnb29nLW1hbHdhcmUtc2hhdmFyEAAYgYwBIKCNATIZAUYAAN_9v-7__f____-f____f_______AA]
281047 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 200 OK
281047 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
281047 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler - >>               Request Headers: 
281047 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler -                               Host: safebrowsing-cache.google.com
281047 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.15) Gecko/2009101601 Firefox/3.0.15 (.NET CLR 3.5.30729)
281047 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler -                               Accept: text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8
281047 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
281047 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler -                               Accept-Encoding: gzip,deflate
281047 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
281047 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler -                               Keep-Alive: 300
281047 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
281047 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler -                               Cookie: PREF=ID=79be1ebc890d2b48:TM=1265875951:LM=1265875951:S=saE0mDfDdDIpGND9
281047 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
